[05/16/22 22:43:05.124] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:43:05.373] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:43:05.373] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:43:07.374] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:43:07.374] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:43:09.375] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:43:09.375] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:44:09.001] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:44:09.001] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:44:09.001] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:44:09.001] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:44:09.002] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:44:09.003] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:44:09.003] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:44:10.002] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:44:10.002] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:44:10.002] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:44:10.002] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:44:10.002] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:44:10.004] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:44:10.004] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:44:12.001] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:44:12.001] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:44:12.002] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:44:12.002] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:44:12.002] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:44:12.004] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:44:12.004] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:48:10.001] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:48:10.001] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:48:10.001] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:48:10.001] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:48:10.001] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:48:10.002] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:48:10.003] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:48:11.003] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:48:11.003] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:48:11.003] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
[05/16/22 22:48:11.003] [info    ] [mes] Server announced! Name: pnp.component.camera-lucas-laptop DiscoveryUrl: opc.tcp://lucas-laptop:4842/
